key,scroll,wrap,area_cm2,verdict,mean_range,median_range,flat_frac,tiles,pct
PHerc0125__z9344_w080,PHerc0125,w080,8.41,,19.788314819335938,17.256694793701172,0.0,24,0.2661290322580645
PHerc0125__z10544_w020,PHerc0125,w020,2.44,,19.76545238494873,19.907569885253906,0.0,24,0.25
PHerc0125__z11744_w040,PHerc0125,w040,4.49,,19.729973793029785,18.44528579711914,0.0,24,0.23387096774193547
PHerc0125__z6944_w020,PHerc0125,w020,2.16,aprova,19.62298520406087,19.30077362060547,0.0,24,0.21774193548387097
PHerc0125__z9936_w020,PHerc0125,w020,2.3,reprova,19.603376388549805,19.439666748046875,0.0,24,0.20161290322580644
PHerc0125__z6336_w020,PHerc0125,w020,2.21,aprova,19.582437833150227,19.836822509765625,0.0,24,0.18548387096774194
PHerc0125__z17136_w060,PHerc0125,w060,6.54,,19.452661832173664,19.467487335205078,0.16666666666666666,24,0.1693548387096774
PHerc0125__z9344_w040,PHerc0125,w040,4.54,,19.348225275675457,18.15064239501953,0.0,24,0.1532258064516129
PHerc0125__z14144_w080,PHerc0125,w080,8.6,,19.174293518066406,17.959430694580078,0.0,24,0.13709677419354838
PHerc0125__z9936_w040,PHerc0125,w040,4.58,,19.085525512695312,18.819480895996094,0.0,24,0.12096774193548387
PHerc0125__z6944_w040,PHerc0125,w040,4.23,,18.98279635111491,18.794612884521484,0.0,24,0.10483870967741934
PHerc0125__z6944_w080,PHerc0125,w080,8.14,reprova,18.953797976175945,19.05618667602539,0.0,24,0.08870967741935484
PHerc0125__z6336_w080,PHerc0125,w080,8.15,,18.86600335439046,17.287277221679688,0.0,24,0.07258064516129031
PHerc0125__z8736_w060,PHerc0125,w060,6.42,,18.662699540456135,17.762435913085938,0.0,24,0.056451612903225805
PHerc0125__z8736_w040,PHerc0125,w040,4.38,,18.65468184153239,17.634689331054688,0.0,24,0.04032258064516129
PHerc0125__z8144_w060,PHerc0125,w060,6.22,,18.502890586853027,20.022098541259766,0.0,24,0.024193548387096774
PHerc0125__z8144_w040,PHerc0125,w040,4.33,,16.742899576822918,15.633121490478516,0.0,24,0.008064516129032258
PHerc0211__z7920_w100,PHerc0211,w100,9.35,,74.21415054798126,80.13192749023438,0.0,24,0.9944444444444445
PHerc0211__z4912_w100,PHerc0211,w100,9.77,,68.80964250862598,73.9428939819336,0.08333333333333333,24,0.9833333333333333
PHerc0211__z4320_w100,PHerc0211,w100,10.06,,66.64062827577193,68.24345397949219,0.08333333333333333,24,0.9722222222222222
